D,p,dKthr,A
3.1534104e-09,1.2418588,6.811782,76.11292
1.0032483e-09,1.1776496,7.331554,62.803493
2.2104032e-09,1.1817944,6.9533443,72.012184
2.7873002e-09,1.194542,6.973054,74.34703
1.9321982e-09,1.2119762,6.893611,72.36936
3.571542e-09,1.3423847,7.040291,71.253136
2.1341402e-09,1.1926075,7.1469936,76.36329
2.914144e-09,1.2276672,5.8647523,73.39269
1.5255918e-09,1.2845742,6.9387355,70.348366
2.3035724e-09,1.323658,7.543436,70.96948
1.8734088e-09,1.2763377,6.925078,75.3827
2.5068316e-09,1.2094234,6.5591807,71.823425
2.4019389e-09,1.1778638,7.520912,77.32585
2.6188087e-09,1.2043927,6.9535756,81.15626
-3.982449e-10,1.145568,7.751827,71.997406
2.6814808e-09,1.1307716,7.4819226,82.09104
2.7100793e-09,1.227649,7.9539795,70.47275
2.4714792e-09,1.2050141,7.7038226,65.1155
1.4546971e-09,1.1212163,6.1489897,76.277016
7.923664e-10,1.2824575,7.4277854,75.251076
1.9813393e-09,1.235078,7.212546,69.76752
2.4216167e-09,1.1877708,7.315881,75.754684
3.5099064e-09,1.1601331,7.2149553,81.02836
2.4834843e-09,1.1439755,6.3131013,79.80281
1.4401684e-09,1.2785107,7.222171,68.05856
1.2732582e-09,1.229251,7.345639,77.04901
2.0252173e-09,1.2140933,8.058493,73.55844
3.0435898e-09,1.2034984,6.4020295,75.593155
9.754043e-10,1.2285742,7.5417457,66.77235
7.0135564e-10,1.2735813,7.5367746,73.32623
7.993132e-10,1.1806159,8.117501,72.82729
2.1965865e-09,1.181339,7.540696,78.05599
1.945303e-09,1.2641337,8.184845,70.15493
2.9901417e-09,1.192115,7.1651163,69.427536
2.8263683e-09,1.2743886,7.186499,77.387886
2.9446603e-09,1.1213064,7.73177,66.27407
1.1972989e-09,1.320981,5.951664,74.74838
1.7412988e-10,1.178996,7.378527,66.464905
2.7513334e-09,1.2075129,6.9965935,67.24229
1.993136e-09,1.1708865,8.710978,76.690094
1.780751e-09,1.1654171,7.4234877,79.854706
3.0462168e-09,1.121725,6.840433,74.56005
3.3693246e-09,1.1627196,7.1867633,78.25335
1.4696039e-09,1.1195794,6.6762443,70.04368
3.302665e-09,1.1244043,7.351263,77.816086
9.825997e-10,1.2195994,6.701456,78.45836
