D,p,dKthr,A
1.9393769e-09,1.1094832,6.8165703,75.60627
3.3217462e-09,1.1950694,8.016453,74.560555
2.36192e-09,1.2160343,7.2685704,74.93384
7.911021e-10,1.1769755,7.1067824,73.111755
3.4599608e-09,1.1250634,7.8522387,77.71188
1.1903718e-09,1.109087,6.889616,74.117096
3.2015004e-09,1.2633427,8.144122,70.45678
2.4689737e-09,1.179227,6.6848483,73.27694
1.5686875e-09,1.2076812,7.408746,73.839775
1.1418485e-09,1.1292078,7.020148,71.50268
1.3191621e-09,1.2296349,6.2985997,71.58439
1.9223863e-09,1.1618246,8.1322975,75.30865
2.0642823e-09,1.1215497,6.520321,72.796646
1.8748592e-09,1.2592212,7.471902,71.08129
2.9793878e-09,1.166717,7.07821,75.53774
1.9016126e-09,1.2375945,6.922096,69.50928
3.7553254e-09,1.2131039,7.196637,72.85986
1.4950435e-09,1.1216514,7.4064946,74.38291
1.4088242e-09,1.2723942,6.2167,72.972916
3.1756997e-09,1.2919674,7.0221305,74.6389
2.5745774e-09,1.267479,7.177849,76.5392
9.099967e-10,1.1677951,7.333515,75.83529
2.26412e-09,1.2700511,7.4928718,75.73843
1.3676503e-09,1.1739832,7.1908097,72.92178
3.0104683e-09,1.2614892,6.9005756,75.561005
1.8361884e-09,1.1717123,7.0824656,71.86679
2.296816e-09,1.1730968,6.787381,74.677734
2.3069844e-09,1.2371613,6.576275,76.12137
3.3481475e-09,1.274325,6.7797256,77.912766
4.3676343e-09,1.2263714,7.2538347,75.41838
9.320062e-10,1.2503821,7.4018965,71.40743
1.3461648e-09,1.2506213,6.9074025,71.67245
2.4254112e-09,1.1893606,7.7736363,75.0484
1.3177129e-09,1.2391617,7.198943,74.852486
1.0178285e-09,1.2473694,7.1177216,72.67334
1.3904307e-09,1.1298429,6.764862,71.10118
2.0395705e-09,1.1815997,6.885395,73.764915
1.6668001e-09,1.1282167,7.585317,72.13499
7.635942e-10,1.3103735,7.5690646,72.85535
9.915923e-10,1.162926,6.472431,69.9381
2.1149615e-09,1.2502536,6.851414,74.057076
2.0374338e-09,1.2394146,7.1733413,72.96944
1.3350734e-09,1.2396985,7.313252,73.821014
1.7506052e-09,1.2311057,7.6523104,75.83974
1.4894006e-09,1.1310737,8.154008,72.90001
1.8383735e-09,1.1617097,7.708724,71.39651
1.1156078e-09,1.1138877,7.482211,76.11083
3.850666e-09,1.2448796,7.171258,73.34672
3.5741217e-09,1.2278208,6.828325,73.22701
1.8688378e-09,1.2126647,7.768389,70.31956
